# K0 = 11.9013881683
# t	x(t)	y(t)	h	K(t)	erro_relativo
4.1257853508	2.2759156227	0.7298013568	0.0721485913	11.9013757706	0.0000010417
4.1929740906	2.6642432213	0.8058601618	0.0671889260	11.9013748169	0.0000011218
4.2467174530	2.8957147598	0.8871651292	0.0537433997	11.9013757706	0.0000010417
4.2956604958	2.9957010746	0.9763020277	0.0489431657	11.9013757706	0.0000010417
4.3453731537	2.9567019939	1.0777558088	0.0497126691	11.9013767242	0.0000009616
4.3933143616	2.7799303532	1.1793541908	0.0479413271	11.9013767242	0.0000009616
4.4435710907	2.4755196571	1.2804147005	0.0502567925	11.9013767242	0.0000009616
4.5005693436	2.0505189896	1.3762767315	0.0569980890	11.9013757706	0.0000010417
4.5683059692	1.5449042320	1.4522730112	0.0677364990	11.9013729095	0.0000012821
4.6302061081	1.1543987989	1.4833759069	0.0618999340	11.9013738632	0.0000012020
4.6918501854	0.8557910919	1.4831608534	0.0616438910	11.9013738632	0.0000012020
4.7603068352	0.6196980476	1.4560265541	0.0684565902	11.9013748169	0.0000011218
4.8295645714	0.4587865472	1.4097646475	0.0692575425	11.9013757706	0.0000010417
4.9078946114	0.3412209749	1.3445593119	0.0783298984	11.9013757706	0.0000010417
4.9923348427	0.2634674907	1.2672853470	0.0844402835	11.9013757706	0.0000010417
5.0846571922	0.2142252475	1.1810243130	0.0923221260	11.9013748169	0.0000011218
5.1765160561	0.1885660142	1.0973303318	0.0918587893	11.9013729095	0.0000012821
5.2764058113	0.1787005812	1.0112611055	0.0998899341	11.9013738632	0.0000012020
5.3880109787	0.1855416894	0.9228855371	0.1116052046	11.9013729095	0.0000012821
5.5160636902	0.2172369957	0.8329237700	0.1280526817	11.9013729095	0.0000012821
5.6701660156	0.3021033406	0.7425128818	0.1541024745	11.9013690948	0.0000016026
5.7669172287	0.3965010643	0.6969787478	0.0967510641	11.9013681412	0.0000016828
5.8513484001	0.5192437172	0.6655842066	0.0844310522	11.9013690948	0.0000016026
5.9281272888	0.6769016981	0.6451475024	0.0767786577	11.9013690948	0.0000016026
6.0045452118	0.8920354247	0.6343430281	0.0764181241	11.9013690948	0.0000016026
6.0801382065	1.1764664650	0.6356766820	0.0755927786	11.9013700485	0.0000015225
6.1659035683	1.5963336229	0.6566107869	0.0857651830	11.9013700485	0.0000015225
6.2318320274	1.9810744524	0.6914969087	0.0659285411	11.9013700485	0.0000015225
6.3003473282	2.4020237923	0.7503493428	0.0685151294	11.9013690948	0.0000016026
6.3666567802	2.7613873482	0.8337508440	0.0663096830	11.9013690948	0.0000016026
6.4153800011	2.9390394688	0.9127706289	0.0487233065	11.9013690948	0.0000016026
6.4639773369	2.9997875690	1.0049855709	0.0485973954	11.9013700485	0.0000015225
6.5133647919	2.9181177616	1.1077506542	0.0493872762	11.9013710022	0.0000014424
6.5609173775	2.7067291737	1.2080249786	0.0475524329	11.9013700485	0.0000015225
6.6126203537	2.3669974804	1.3084188700	0.0517027937	11.9013690948	0.0000016026
6.6745967865	1.8951032162	1.4035797119	0.0619763844	11.9013671875	0.0000017629
6.7343502045	1.4610595703	1.4612157345	0.0597532466	11.9013671875	0.0000017629
6.7947945595	1.0957767963	1.4853677750	0.0604442470	11.9013671875	0.0000017629
6.8587102890	0.8037404418	1.4798671007	0.0639158338	11.9013671875	0.0000017629
6.9352807999	0.5634673238	1.4434882402	0.0765705183	11.9013700485	0.0000015225
7.0054655075	0.4199119210	1.3924131393	0.0701847300	11.9013710022	0.0000014424
7.0847730637	0.3159200847	1.3239015341	0.0793076307	11.9013710022	0.0000014424
7.1740098000	0.2454597503	1.2412382364	0.0892367661	11.9013690948	0.0000016026
7.2648224831	0.2049095631	1.1566883326	0.0908126161	11.9013690948	0.0000016026
7.3584985733	0.1841151416	1.0724751949	0.0936763287	11.9013690948	0.0000016026
7.4612622261	0.1787858009	0.9858145714	0.1027635336	11.9013681412	0.0000016828
7.5764784813	0.1914170235	0.8972999454	0.1152162030	11.9013681412	0.0000016828
7.7093033791	0.2331824750	0.8078660965	0.1328249574	11.9013671875	0.0000017629
7.8412518501	0.3160717189	0.7337118983	0.1319483668	11.9013652802	0.0000019232
7.9351539612	0.4143748581	0.6910332441	0.0939022675	11.9013652802	0.0000019232
8.0178556442	0.5418709517	0.6616341472	0.0827020109	11.9013652802	0.0000019232
8.0930423737	0.7041521072	0.6429375410	0.0751868859	11.9013652802	0.0000019232
8.1677513123	0.9231813550	0.6337937117	0.0747091919	11.9013652802	0.0000019232
8.2439613342	1.2200258970	0.6369375587	0.0762104541	11.9013662338	0.0000018430
8.3310594559	1.6592233181	0.6612969637	0.0870980024	11.9013662338	0.0000018430
8.3972196579	2.0520427227	0.6996713877	0.0661600679	11.9013652802	0.0000019232
8.4634599686	2.4572150707	0.7603771091	0.0662399158	11.9013652802	0.0000019232
8.5323724747	2.8135271072	0.8516611457	0.0689123124	11.9013643265	0.0000020033
8.5809535980	2.9656312466	0.9339495301	0.0485808663	11.9013652802	0.0000019232
8.6335964203	2.9898483753	1.0371668339	0.0526429415	11.9013652802	0.0000019232
8.6816434860	2.8666548729	1.1384781599	0.0480474867	11.9013662338	0.0000018430
8.7304067612	2.6134030819	1.2398605347	0.0487632677	11.9013662338	0.0000018430
8.7834005356	2.2407829762	1.3376703262	0.0529936813	11.9013662338	0.0000018430
8.8520488739	1.7171006203	1.4305464029	0.0686478913	11.9013614655	0.0000022437
8.9170227051	1.2759571075	1.4767620564	0.0649742782	11.9013614655	0.0000022437
8.9779605865	0.9500622749	1.4862909317	0.0609379001	11.9013624191	0.0000021635
9.0482320786	0.6787473559	1.4661529064	0.0702710971	11.9013643265	0.0000020033
9.1182918549	0.4964590371	1.4237815142	0.0700599775	11.9013652802	0.0000019232
9.1926870346	0.3700409830	1.3645237684	0.0743955672	11.9013652802	0.0000019232
9.2766323090	0.2811576426	1.2890156507	0.0839457288	11.9013652802	0.0000019232
9.3708295822	0.2232014984	1.2010165453	0.0941974819	11.9013643265	0.0000020033
9.4620609283	0.1930919141	1.1171410084	0.0912313983	11.9013633728	0.0000020834
9.5593261719	0.1796601266	1.0320041180	0.0972656459	11.9013643265	0.0000020033
9.6675472260	0.1821093559	0.9443134665	0.1082207933	11.9013633728	0.0000020834
9.7900066376	0.2061144710	0.8553623557	0.1224591136	11.9013624191	0.0000021635
9.9361619949	0.2726306021	0.7649032474	0.1461551338	11.9013605118	0.0000023238
10.0419178009	0.3599773347	0.7112857103	0.1057561263	11.9013595581	0.0000024039
10.1301507950	0.4721396267	0.6753505468	0.0882326737	11.9013595581	0.0000024039
10.2084836960	0.6149191856	0.6514257193	0.0783325285	11.9013605118	0.0000023238
10.2891931534	0.8202450871	0.6364554167	0.0807092860	11.9013614655	0.0000022437
10.3645505905	1.0806821585	0.6337908506	0.0753576532	11.9013614655	0.0000022437
10.4438953400	1.4394897223	0.6466208100	0.0793442875	11.9013614655	0.0000022437
10.5128679276	1.8207788467	0.6751202941	0.0689726993	11.9013614655	0.0000022437
10.5851821899	2.2630586624	0.7278724313	0.0723145008	11.9013595581	0.0000024039
10.6524429321	2.6537497044	0.8031720519	0.0672608167	11.9013595581	0.0000024039
10.7072839737	2.8926763535	0.8856256008	0.0548412129	11.9013605118	0.0000023238
10.7562932968	2.9950528145	0.9746456146	0.0490096696	11.9013605118	0.0000023238
10.8076295853	2.9548864365	1.0793840885	0.0513361394	11.9013614655	0.0000022437
10.8551988602	2.7779138088	1.1801913977	0.0475689210	11.9013614655	0.0000022437
10.9050636292	2.4754505157	1.2804265022	0.0498649366	11.9013605118	0.0000023238
10.9616060257	2.0539658070	1.3756244183	0.0565425009	11.9013605118	0.0000023238
11.0227613449	1.5944823027	1.4464657307	0.0611554608	11.9013586044	0.0000024841
11.0844287872	1.1955579519	1.4814890623	0.0616678745	11.9013586044	0.0000024841
11.1461858749	0.8859103918	1.4845273495	0.0617572069	11.9013595581	0.0000024039
11.2207221985	0.6227281690	1.4566118717	0.0745366216	11.9013605118	0.0000023238
11.2896070480	0.4615094066	1.4108579159	0.0688850209	11.9013624191	0.0000021635
11.3675165176	0.3434243202	1.3462028503	0.0779095218	11.9013614655	0.0000022437
11.4515094757	0.2651075423	1.2694367170	0.0839930475	11.9013614655	0.0000022437
11.5444126129	0.2149019092	1.1826254129	0.0929032266	11.9013605118	0.0000023238
11.6362276077	0.1888968199	1.0989063978	0.0918148756	11.9013595581	0.0000024039
11.7355003357	0.1787558198	1.0132449865	0.0992729440	11.9013595581	0.0000024039
11.8464374542	0.1851146668	0.9251855016	0.1109367386	11.9013595581	0.0000024039
11.9726333618	0.2154819220	0.8361365795	0.1261956990	11.9013595581	0.0000024039
12.1245365143	0.2966653109	0.7462225556	0.1519031823	11.9013547897	0.0000028046
12.2224321365	0.3894313574	0.6995090246	0.0978957936	11.9013547897	0.0000028046
12.3065652847	0.5085172057	0.6676158905	0.0841329172	11.9013557434	0.0000027245
12.3832902908	0.6619285941	0.6464984417	0.0767247081	11.9013557434	0.0000027245
12.4597129822	0.8716974854	0.6348186731	0.0764227286	11.9013557434	0.0000027245
12.5349607468	1.1482508183	0.6349926591	0.0752478540	11.9013557434	0.0000027245
12.6199197769	1.5557775497	0.6537968516	0.0849593729	11.9013566971	0.0000026443
12.6854104996	1.9329658747	0.6862908602	0.0654908419	11.9013566971	0.0000026443
12.7549581528	2.3605992794	0.7432663441	0.0695473850	11.9013557434	0.0000027245
12.8241109848	2.7426314354	0.8278939724	0.0691531450	11.9013557434	0.0000027245
12.8735151291	2.9301717281	0.9068865776	0.0494046062	11.9013557434	0.0000027245
